label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Red Player 1 - Class,1124,672,64,64,match_start_20260110_171954_full.png,3840,2160
Red Player 2 - Class,1124,731,64,64,match_start_20260110_171954_full.png,3840,2160
Red Player 3 - Class,1124,797,64,64,match_start_20260110_171954_full.png,3840,2160
Red Player 4 - Class,1124,850,64,64,match_start_20260110_171954_full.png,3840,2160
Red Player 5 - Class,1124,914,64,64,match_start_20260110_171954_full.png,3840,2160
Blue Player 1 - Class,2657,682,64,64,match_start_20260110_171954_full.png,3840,2160
Blue Player 2 - Class,2657,736,64,64,match_start_20260110_171954_full.png,3840,2160
Blue Player 3 - Class,2657,799,64,64,match_start_20260110_171954_full.png,3840,2160
Blue Player 4 - Class,2657,857,64,64,match_start_20260110_171954_full.png,3840,2160
Blue Player 5 - Class,2657,914,64,64,match_start_20260110_171954_full.png,3840,2160
