label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Legendary L O K I,1224,670,695,61,full-screen-start.png,3839,2160
Bound By Familiars,1222,738,701,61,full-screen-start.png,3839,2160
Optimum Panda,1222,799,697,55,full-screen-start.png,3839,2160
Emperor Leaf Face,1226,859,697,57,full-screen-start.png,3839,2160
Gsh Baern,1226,914,705,59,full-screen-start.png,3839,2160
BomBomBumn,1989,672,699,68,full-screen-start.png,3839,2160
îtö,1993,740,695,55,full-screen-start.png,3839,2160
Doneee,1989,797,703,57,full-screen-start.png,3839,2160
Nemosys,1985,859,709,55,full-screen-start.png,3839,2160
Hongkonghero,1995,912,699,61,full-screen-start.png,3839,2160
Ranked Arena,1267,408,197,76,full-screen-start.png,3839,2160
