label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Dxnp,1196,707,609,57,match_start_20260109_201737_full.png,3840,2160
Lil Denji,1196,770,611,51,match_start_20260109_201737_full.png,3840,2160
Saschyá,1198,830,609,53,match_start_20260109_201737_full.png,3840,2160
Manifest Telltale,1198,885,611,55,match_start_20260109_201737_full.png,3840,2160
Lylandrissu,1194,945,613,59,match_start_20260109_201737_full.png,3840,2160
Phantom Tithe,2039,711,615,49,match_start_20260109_201737_full.png,3840,2160
Captainjohnson,2037,764,619,57,match_start_20260109_201737_full.png,3840,2160
Kaylosse,2034,824,623,64,match_start_20260109_201737_full.png,3840,2160
Brawny Benediction,2039,885,619,59,match_start_20260109_201737_full.png,3840,2160
Catpaw Chino,2039,945,621,53,match_start_20260109_201737_full.png,3840,2160
Arena Type,1239,440,217,76,match_start_20260109_201737_full.png,3840,2160
