target,actual,predicted,similarity,correct
ranked-1_Blue_Player_1___Class_match_start_20260110_102550_full.png,Guardian,Chronomancer,0.33482933044433594,False
ranked-1_Blue_Player_2___Class_match_start_20260110_102550_full.png,Amalgam,Amalgam,0.6505067348480225,True
ranked-1_Blue_Player_3___Class_match_start_20260110_102550_full.png,Galeshot,Galeshot,0.547829270362854,True
ranked-1_Blue_Player_4___Class_match_start_20260110_102550_full.png,Mesmer,Mesmer,0.752769947052002,True
ranked-1_Blue_Player_5___Class_match_start_20260110_102550_full.png,Antiquary,Antiquary,0.33330461382865906,True
ranked-1_Red_Player_1___Class_match_start_20260110_102550_full.png,Elementalist,Guardian,0.3541083037853241,False
ranked-1_Red_Player_2___Class_match_start_20260110_102550_full.png,Luminary,Luminary,0.6122941970825195,True
ranked-1_Red_Player_3___Class_match_start_20260110_102550_full.png,Daredevil,Daredevil,0.47393450140953064,True
ranked-1_Red_Player_4___Class_match_start_20260110_102550_full.png,Galeshot,Galeshot,0.5078075528144836,True
ranked-1_Red_Player_5___Class_match_start_20260110_102550_full.png,Virtuoso,Virtuoso,0.4247940480709076,True
ranked-2_Blue_Player_1___Class_match_start_20260110_171954_full.png,Luminary,Luminary,0.4920159876346588,True
ranked-2_Blue_Player_2___Class_match_start_20260110_171954_full.png,Ritualist,Ritualist,0.5992047190666199,True
ranked-2_Blue_Player_3___Class_match_start_20260110_171954_full.png,Virtuoso,Virtuoso,0.5385531783103943,True
ranked-2_Blue_Player_4___Class_match_start_20260110_171954_full.png,Soulbeast,Soulbeast,0.4511721134185791,True
ranked-2_Blue_Player_5___Class_match_start_20260110_171954_full.png,Antiquary,Antiquary,0.3172326683998108,True
ranked-2_Red_Player_1___Class_match_start_20260110_171954_full.png,Specter,Specter,0.5260114669799805,True
ranked-2_Red_Player_2___Class_match_start_20260110_171954_full.png,Galeshot,Galeshot,0.812570333480835,True
ranked-2_Red_Player_3___Class_match_start_20260110_171954_full.png,Soulbeast,Soulbeast,0.5382423996925354,True
ranked-2_Red_Player_4___Class_match_start_20260110_171954_full.png,Ritualist,Ritualist,0.5252239108085632,True
ranked-2_Red_Player_5___Class_match_start_20260110_171954_full.png,Chronomancer,Conduit,0.26429060101509094,False
ranked-3_Blue_Player_1___Class_match_start_20260110_173957_full.png,Herald,Herald,0.32840046286582947,True
ranked-3_Blue_Player_2___Class_match_start_20260110_173957_full.png,Luminary,Luminary,0.5782944560050964,True
ranked-3_Blue_Player_3___Class_match_start_20260110_173957_full.png,Druid,Druid,0.5012657046318054,True
ranked-3_Blue_Player_4___Class_match_start_20260110_173957_full.png,Antiquary,Antiquary,0.48660990595817566,True
ranked-3_Blue_Player_5___Class_match_start_20260110_173957_full.png,Virtuoso,Virtuoso,0.35218319296836853,True
ranked-3_Red_Player_1___Class_match_start_20260110_173957_full.png,Troubador,Troubadour,0.5859151482582092,False
ranked-3_Red_Player_2___Class_match_start_20260110_173957_full.png,Reaper,Reaper,0.7392649054527283,True
ranked-3_Red_Player_3___Class_match_start_20260110_173957_full.png,Druid,Druid,0.5366580486297607,True
ranked-3_Red_Player_4___Class_match_start_20260110_173957_full.png,Luminary,Luminary,0.45272451639175415,True
